From	To	Species Gene_Name
Uba6	231380	Mus musculus	ubiquitin-like modifier activating enzyme 6(Uba6)
Creb3l2	208647	Mus musculus	cAMP responsive element binding protein 3-like 2(Creb3l2)
Wdfy3	72145	Mus musculus	WD repeat and FYVE domain containing 3(Wdfy3)
Cbl	12402	Mus musculus	Casitas B-lineage lymphoma(Cbl)
Ptpn4	19258	Mus musculus	protein tyrosine phosphatase, non-receptor type 4(Ptpn4)
Coch	12810	Mus musculus	cochlin(Coch)
Chrm4	12672	Mus musculus	cholinergic receptor, muscarinic 4(Chrm4)
Nhs	195727	Mus musculus	NHS actin remodeling regulator(Nhs)
Lnpep	240028	Mus musculus	leucyl/cystinyl aminopeptidase(Lnpep)
Pag1	94212	Mus musculus	phosphoprotein associated with glycosphingolipid microdomains 1(Pag1)
Hmbox1	219150	Mus musculus	homeobox containing 1(Hmbox1)
Dgki	320127	Mus musculus	diacylglycerol kinase, iota(Dgki)
Xbp1	22433	Mus musculus	X-box binding protein 1(Xbp1)
Wfs1	22393	Mus musculus	wolframin ER transmembrane glycoprotein(Wfs1)
Slc9a7	236727	Mus musculus	solute carrier family 9 (sodium/hydrogen exchanger), member 7(Slc9a7)
Dnajb1	81489	Mus musculus	DnaJ heat shock protein family (Hsp40) member B1(Dnajb1)
Snora41	100217464	Mus musculus	small nucleolar RNA, H/ACA box 41(Snora41)
Tenm4	23966	Mus musculus	teneurin transmembrane protein 4(Tenm4)
Tnrc6b	213988	Mus musculus	trinucleotide repeat containing 6b(Tnrc6b)
Fam135b	70363	Mus musculus	family with sequence similarity 135, member B(Fam135b)
Ppm1l	242083	Mus musculus	protein phosphatase 1 (formerly 2C)-like(Ppm1l)
Ago3	214150	Mus musculus	argonaute RISC catalytic subunit 3(Ago3)
Ago2	239528	Mus musculus	argonaute RISC catalytic subunit 2(Ago2)
Kmt2c	231051	Mus musculus	lysine (K)-specific methyltransferase 2C(Kmt2c)
Zfp369	170936	Mus musculus	zinc finger protein 369(Zfp369)
D830031N03Rik	442834	Mus musculus	RIKEN cDNA D830031N03 gene(D830031N03Rik)
Fat1	14107	Mus musculus	FAT atypical cadherin 1(Fat1)
Prrc2c	226562	Mus musculus	proline-rich coiled-coil 2C(Prrc2c)
Banp	53325	Mus musculus	BTG3 associated nuclear protein(Banp)
Sdk2	237979	Mus musculus	sidekick cell adhesion molecule 2(Sdk2)
Grin2b	14812	Mus musculus	glutamate receptor, ionotropic, NMDA2B (epsilon 2)(Grin2b)
