From	To	Species	Gene Name
BC048507	408058	Mus musculus	cDNA sequence BC048507(BC048507)
Rreb1	68750	Mus musculus	ras responsive element binding protein 1(Rreb1)
Sptbn1	20742	Mus musculus	spectrin beta, non-erythrocytic 1(Sptbn1)
Cpeb3	208922	Mus musculus	cytoplasmic polyadenylation element binding protein 3(Cpeb3)
Fgfr2	14183	Mus musculus	fibroblast growth factor receptor 2(Fgfr2)
Prr32	68800	Mus musculus	proline rich 32(Prr32)
Gmeb1	56809	Mus musculus	glucocorticoid modulatory element binding protein 1(Gmeb1)
Ago2	239528	Mus musculus	argonaute RISC catalytic subunit 2(Ago2)
Abca4	11304	Mus musculus	ATP-binding cassette, sub-family A (ABC1), member 4(Abca4)
Ago1	236511	Mus musculus	argonaute RISC catalytic subunit 1(Ago1)
Fat1	14107	Mus musculus	FAT atypical cadherin 1(Fat1)
Mtmr4	170749	Mus musculus	myotubularin related protein 4(Mtmr4)
Junb	16477	Mus musculus	jun B proto-oncogene(Junb)
Med13l	76199	Mus musculus	mediator complex subunit 13-like(Med13l)
Gatad2b	229542	Mus musculus	GATA zinc finger domain containing 2B(Gatad2b)
Mtmr9	210376	Mus musculus	myotubularin related protein 9(Mtmr9)
Plcb4	18798	Mus musculus	phospholipase C, beta 4(Plcb4)
Med23	70208	Mus musculus	mediator complex subunit 23(Med23)
A530016L24Rik	319942	Mus musculus	RIKEN cDNA A530016L24 gene(A530016L24Rik)
Supt20	56790	Mus musculus	SPT20 SAGA complex component(Supt20)
Arf1	11840	Mus musculus	ADP-ribosylation factor 1(Arf1)
Myoc	17926	Mus musculus	myocilin(Myoc)
Gm5113	330503	Mus musculus	predicted gene 5113(Gm5113)
Ogg1	18294	Mus musculus	8-oxoguanine DNA-glycosylase 1(Ogg1)
Ep400	75560	Mus musculus	E1A binding protein p400(Ep400)
Sft2d2	108735	Mus musculus	SFT2 domain containing 2(Sft2d2)
Rgs7bp	52882	Mus musculus	regulator of G-protein signalling 7 binding protein(Rgs7bp)
Smg7	226517	Mus musculus	SMG7 nonsense mediated mRNA decay factor(Smg7)
Gpr26	233919	Mus musculus	G protein-coupled receptor 26(Gpr26)
Fam168a	319604	Mus musculus	family with sequence similarity 168, member A(Fam168a)
Zfp516	329003	Mus musculus	zinc finger protein 516(Zfp516)
Pxdn	69675	Mus musculus	peroxidasin(Pxdn)
Fam120a	218236	Mus musculus	family with sequence similarity 120, member A(Fam120a)
Gabbr2	242425	Mus musculus	gamma-aminobutyric acid (GABA) B receptor, 2(Gabbr2)
Adcy1	432530	Mus musculus	adenylate cyclase 1(Adcy1)
Tbc1d14	100855	Mus musculus	TBC1 domain family, member 14(Tbc1d14)
Adcy7	11513	Mus musculus	adenylate cyclase 7(Adcy7)
Ndc1	72787	Mus musculus	NDC1 transmembrane nucleoporin(Ndc1)
Med12	59024	Mus musculus	mediator complex subunit 12(Med12)
Snx29	74478	Mus musculus	sorting nexin 29(Snx29)
Slc2a12	353169	Mus musculus	solute carrier family 2 (facilitated glucose transporter), member 12(Slc2a12)
Psmb6	19175	Mus musculus	proteasome (prosome, macropain) subunit, beta type 6(Psmb6)
Nhsl2	100042480	Mus musculus	NHS-like 2(Nhsl2)
Golgb1	224139	Mus musculus	golgi autoantigen, golgin subfamily b, macrogolgin 1(Golgb1)
Slc16a1	20501	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 1(Slc16a1)
Mmp17	23948	Mus musculus	matrix metallopeptidase 17(Mmp17)
Col24a1	71355	Mus musculus	collagen, type XXIV, alpha 1(Col24a1)
Ccl27a	20301	Mus musculus	chemokine (C-C motif) ligand 27A(Ccl27a)
Kcne2	246133	Mus musculus	potassium voltage-gated channel, Isk-related subfamily, gene 2(Kcne2)
Upf1	19704	Mus musculus	UPF1 regulator of nonsense transcripts homolog (yeast)(Upf1)
Sptan1	20740	Mus musculus	spectrin alpha, non-erythrocytic 1(Sptan1)
Cit	12704	Mus musculus	citron(Cit)
1700008O03Rik	69349	Mus musculus	RIKEN cDNA 1700008O03 gene(1700008O03Rik)
F5	14067	Mus musculus	coagulation factor V(F5)
Zeb1	21417	Mus musculus	zinc finger E-box binding homeobox 1(Zeb1)
Ahnak	66395	Mus musculus	AHNAK nucleoprotein (desmoyokin)(Ahnak)
Peli2	93834	Mus musculus	pellino 2(Peli2)
Rplp1	56040	Mus musculus	ribosomal protein, large, P1(Rplp1)
Tet3	194388	Mus musculus	tet methylcytosine dioxygenase 3(Tet3)
Slc28a3	114304	Mus musculus	solute carrier family 28 (sodium-coupled nucleoside transporter), member 3(Slc28a3)
Zfp507	668501	Mus musculus	zinc finger protein 507(Zfp507)
Afap1	70292	Mus musculus	actin filament associated protein 1(Afap1)
Snx30	209131	Mus musculus	sorting nexin family member 30(Snx30)
Ncor1	20185	Mus musculus	nuclear receptor co-repressor 1(Ncor1)
Golga4	54214	Mus musculus	golgi autoantigen, golgin subfamily a, 4(Golga4)
Oca2	18431	Mus musculus	oculocutaneous albinism II(Oca2)
Il6st	16195	Mus musculus	interleukin 6 signal transducer(Il6st)
Sipa1l1	217692	Mus musculus	signal-induced proliferation-associated 1 like 1(Sipa1l1)
Man2a2	140481	Mus musculus	mannosidase 2, alpha 2(Man2a2)
Rpl13	270106	Mus musculus	ribosomal protein L13(Rpl13)
Enpp2	18606	Mus musculus	ectonucleotide pyrophosphatase/phosphodiesterase 2(Enpp2)
Spin1	20729	Mus musculus	spindlin 1(Spin1)
Pnpla3	116939	Mus musculus	patatin-like phospholipase domain containing 3(Pnpla3)
Utp14b	195434	Mus musculus	UTP14B small subunit processome component(Utp14b)
Ypel2	77864	Mus musculus	yippee like 2(Ypel2)
Ppfia1	233977	Mus musculus	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1(Ppfia1)
Snord91a	100217469	Mus musculus	small nucleolar RNA, C/D box 91A(Snord91a)
Cgnl1	68178	Mus musculus	cingulin-like 1(Cgnl1)
Eomes	13813	Mus musculus	eomesodermin(Eomes)
Fkbp15	338355	Mus musculus	FK506 binding protein 15(Fkbp15)
Fgd6	13998	Mus musculus	FYVE, RhoGEF and PH domain containing 6(Fgd6)
Sel1l	20338	Mus musculus	sel-1 suppressor of lin-12-like (C. elegans)(Sel1l)
Spryd4	66701	Mus musculus	SPRY domain containing 4(Spryd4)
Rpl11	67025	Mus musculus	ribosomal protein L11(Rpl11)
Nsd1	18193	Mus musculus	nuclear receptor-binding SET-domain protein 1(Nsd1)
Fryl	72313	Mus musculus	FRY like transcription coactivator(Fryl)
Hinfp	102423	Mus musculus	histone H4 transcription factor(Hinfp)
Cacnb1	12295	Mus musculus	calcium channel, voltage-dependent, beta 1 subunit(Cacnb1)
Cx3cl1	20312	Mus musculus	chemokine (C-X3-C motif) ligand 1(Cx3cl1)
Cacnb2	12296	Mus musculus	calcium channel, voltage-dependent, beta 2 subunit(Cacnb2)
Prkar2a	19087	Mus musculus	protein kinase, cAMP dependent regulatory, type II alpha(Prkar2a)
Cnksr2	245684	Mus musculus	connector enhancer of kinase suppressor of Ras 2(Cnksr2)
Plce1	74055	Mus musculus	phospholipase C, epsilon 1(Plce1)
Timp3	21859	Mus musculus	tissue inhibitor of metalloproteinase 3(Timp3)
Lyst	17101	Mus musculus	lysosomal trafficking regulator(Lyst)
Hs6st3	50787	Mus musculus	heparan sulfate 6-O-sulfotransferase 3(Hs6st3)
Tead3	21678	Mus musculus	TEA domain family member 3(Tead3)
Rapgef5	217944	Mus musculus	Rap guanine nucleotide exchange factor (GEF) 5(Rapgef5)
Rapgef4	56508	Mus musculus	Rap guanine nucleotide exchange factor (GEF) 4(Rapgef4)
Map3k19	22625	Mus musculus	mitogen-activated protein kinase kinase kinase 19(Map3k19)
Lyrm9	66274	Mus musculus	LYR motif containing 9(Lyrm9)
Ash1l	192195	Mus musculus	ASH1 like histone lysine methyltransferase(Ash1l)
Uqcr11	66594	Mus musculus	ubiquinol-cytochrome c reductase, complex III subunit XI(Uqcr11)
2610306M01Rik	67170	Mus musculus	RIKEN cDNA 2610306M01 gene(2610306M01Rik)
Sulf1	240725	Mus musculus	sulfatase 1(Sulf1)
Map3k13	71751	Mus musculus	mitogen-activated protein kinase kinase kinase 13(Map3k13)
Hipk2	15258	Mus musculus	homeodomain interacting protein kinase 2(Hipk2)
St8sia1	20449	Mus musculus	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1(St8sia1)
Mien1	103742	Mus musculus	migration and invasion enhancer 1(Mien1)
Cobll1	319876	Mus musculus	Cobl-like 1(Cobll1)
Clasp1	76707	Mus musculus	CLIP associating protein 1(Clasp1)
Rtn4rl2	269295	Mus musculus	reticulon 4 receptor-like 2(Rtn4rl2)
Irs2	384783	Mus musculus	insulin receptor substrate 2(Irs2)
Hhipl1	214305	Mus musculus	hedgehog interacting protein-like 1(Hhipl1)
Msi2	76626	Mus musculus	musashi RNA-binding protein 2(Msi2)
Tceal3	594844	Mus musculus	transcription elongation factor A (SII)-like 3(Tceal3)
Map3k7	26409	Mus musculus	mitogen-activated protein kinase kinase kinase 7(Map3k7)
Fry	320365	Mus musculus	FRY microtubule binding protein(Fry)
Csmd2	329942	Mus musculus	CUB and Sushi multiple domains 2(Csmd2)
Ppp1r12b	329251	Mus musculus	protein phosphatase 1, regulatory subunit 12B(Ppp1r12b)
Tceal5	331532	Mus musculus	transcription elongation factor A (SII)-like 5(Tceal5)
Bscl2	14705	Mus musculus	Berardinelli-Seip congenital lipodystrophy 2 (seipin)(Bscl2)
Mamld1	333639	Mus musculus	mastermind-like domain containing 1(Mamld1)
Pcyt1b	236899	Mus musculus	phosphate cytidylyltransferase 1, choline, beta isoform(Pcyt1b)
Chrnb4	108015	Mus musculus	cholinergic receptor, nicotinic, beta polypeptide 4(Chrnb4)
Yif1a	68090	Mus musculus	Yip1 interacting factor homolog A (S. cerevisiae)(Yif1a)
Sh3bgrl2	212531	Mus musculus	SH3 domain binding glutamic acid-rich protein like 2(Sh3bgrl2)
Cdh2	12558	Mus musculus	cadherin 2(Cdh2)
Abhd2	54608	Mus musculus	abhydrolase domain containing 2(Abhd2)
Tnr	21960	Mus musculus	tenascin R(Tnr)
Shisa3	330096	Mus musculus	shisa family member 3(Shisa3)
Pias1	56469	Mus musculus	protein inhibitor of activated STAT 1(Pias1)
Arid1a	93760	Mus musculus	AT rich interactive domain 1A (SWI-like)(Arid1a)
Rims1	116837	Mus musculus	regulating synaptic membrane exocytosis 1(Rims1)
Serinc5	218442	Mus musculus	serine incorporator 5(Serinc5)
Nbas	71169	Mus musculus	neuroblastoma amplified sequence(Nbas)
Nfix	18032	Mus musculus	nuclear factor I/X(Nfix)
Adamts4	240913	Mus musculus	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4(Adamts4)
Akap12	83397	Mus musculus	A kinase (PRKA) anchor protein (gravin) 12(Akap12)
Akap13	75547	Mus musculus	A kinase (PRKA) anchor protein 13(Akap13)
Amotl1	75723	Mus musculus	angiomotin-like 1(Amotl1)
Rab3gap2	98732	Mus musculus	RAB3 GTPase activating protein subunit 2(Rab3gap2)
Rprd1a	225283	Mus musculus	regulation of nuclear pre-mRNA domain containing 1A(Rprd1a)
Myt1	17932	Mus musculus	myelin transcription factor 1(Myt1)
Usp8	84092	Mus musculus	ubiquitin specific peptidase 8(Usp8)
Parm1	231440	Mus musculus	prostate androgen-regulated mucin-like protein 1(Parm1)
Plekhm3	241075	Mus musculus	pleckstrin homology domain containing, family M, member 3(Plekhm3)
Gria1	14799	Mus musculus	glutamate receptor, ionotropic, AMPA1 (alpha 1)(Gria1)
Nptxr	73340	Mus musculus	neuronal pentraxin receptor(Nptxr)
Mtmr12	268783	Mus musculus	myotubularin related protein 12(Mtmr12)
Magi2	50791	Mus musculus	membrane associated guanylate kinase, WW and PDZ domain containing 2(Magi2)
Mak	17152	Mus musculus	male germ cell-associated kinase(Mak)
Atf7ip	54343	Mus musculus	activating transcription factor 7 interacting protein(Atf7ip)
Flna	192176	Mus musculus	filamin, alpha(Flna)
Nhp2	52530	Mus musculus	NHP2 ribonucleoprotein(Nhp2)
Sall1	58198	Mus musculus	spalt like transcription factor 1(Sall1)
Zc3h11a	70579	Mus musculus	zinc finger CCCH type containing 11A(Zc3h11a)
Nktr	18087	Mus musculus	natural killer tumor recognition sequence(Nktr)
Trak2	70827	Mus musculus	trafficking protein, kinesin binding 2(Trak2)
Rprm	67874	Mus musculus	reprimo, TP53 dependent G2 arrest mediator candidate(Rprm)
Fv1	14349	Mus musculus	Friend virus susceptibility 1(Fv1)
Mob1a	232157	Mus musculus	MOB kinase activator 1A(Mob1a)
Igdcc4	56741	Mus musculus	immunoglobulin superfamily, DCC subclass, member 4(Igdcc4)
Shc3	20418	Mus musculus	src homology 2 domain-containing transforming protein C3(Shc3)
D630045J12Rik	330286	Mus musculus	RIKEN cDNA D630045J12 gene(D630045J12Rik)
Chchd2	14004	Mus musculus	coiled-coil-helix-coiled-coil-helix domain containing 2(Chchd2)
Rad54l2	81000	Mus musculus	RAD54 like 2 (S. cerevisiae)(Rad54l2)
Pef1	67898	Mus musculus	penta-EF hand domain containing 1(Pef1)
Dync1li2	234663	Mus musculus	dynein, cytoplasmic 1 light intermediate chain 2(Dync1li2)
Rad9a	19367	Mus musculus	RAD9 checkpoint clamp component A(Rad9a)
Jarid2	16468	Mus musculus	jumonji, AT rich interactive domain 2(Jarid2)
Chrm3	12671	Mus musculus	cholinergic receptor, muscarinic 3, cardiac(Chrm3)
Slc1a3	20512	Mus musculus	solute carrier family 1 (glial high affinity glutamate transporter), member 3(Slc1a3)
S100a5	20199	Mus musculus	S100 calcium binding protein A5(S100a5)
Zc3h13	67302	Mus musculus	zinc finger CCCH type containing 13(Zc3h13)
Cnot1	234594	Mus musculus	CCR4-NOT transcription complex, subunit 1(Cnot1)
Slc38a1	105727	Mus musculus	solute carrier family 38, member 1(Slc38a1)
Kat6b	54169	Mus musculus	K(lysine) acetyltransferase 6B(Kat6b)
1500011B03Rik	66236	Mus musculus	RIKEN cDNA 1500011B03 gene(1500011B03Rik)
Peg3os	100169889	Mus musculus	Peg3 opposite strand(Peg3os)
Igsf9b	235086	Mus musculus	immunoglobulin superfamily, member 9B(Igsf9b)
Eps8l3	99662	Mus musculus	EPS8-like 3(Eps8l3)
Steap1	70358	Mus musculus	six transmembrane epithelial antigen of the prostate 1(Steap1)
Adcyap1r1	11517	Mus musculus	adenylate cyclase activating polypeptide 1 receptor 1(Adcyap1r1)
Steap2	74051	Mus musculus	six transmembrane epithelial antigen of prostate 2(Steap2)
Mcc	328949	Mus musculus	mutated in colorectal cancers(Mcc)
Stk11	20869	Mus musculus	serine/threonine kinase 11(Stk11)
Ocel1	77090	Mus musculus	occludin/ELL domain containing 1(Ocel1)
Lonrf2	381338	Mus musculus	LON peptidase N-terminal domain and ring finger 2(Lonrf2)
Kmt2a	214162	Mus musculus	lysine (K)-specific methyltransferase 2A(Kmt2a)
Ildr2	100039795	Mus musculus	immunoglobulin-like domain containing receptor 2(Ildr2)
Kmt2c	231051	Mus musculus	lysine (K)-specific methyltransferase 2C(Kmt2c)
Trp53bp1	27223	Mus musculus	transformation related protein 53 binding protein 1(Trp53bp1)
Klhl34	245683	Mus musculus	kelch-like 34(Klhl34)
Ly6h	23934	Mus musculus	lymphocyte antigen 6 complex, locus H(Ly6h)
Nit2	52633	Mus musculus	nitrilase family, member 2(Nit2)
Zzef1	195018	Mus musculus	zinc finger, ZZ-type with EF hand domain 1(Zzef1)
Itpr1	16438	Mus musculus	inositol 1,4,5-trisphosphate receptor 1(Itpr1)
Trp53bp2	209456	Mus musculus	transformation related protein 53 binding protein 2(Trp53bp2)
Shank2	210274	Mus musculus	SH3 and multiple ankyrin repeat domains 2(Shank2)
Stox2	71069	Mus musculus	storkhead box 2(Stox2)
Kl	16591	Mus musculus	klotho(Kl)
Atp5g1	11951	Mus musculus	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)(Atp5g1)
Atp5g3	228033	Mus musculus	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)(Atp5g3)
Slc23a2	54338	Mus musculus	solute carrier family 23 (nucleobase transporters), member 2(Slc23a2)
Wdr83os	414077	Mus musculus	WD repeat domain 83 opposite strand(Wdr83os)
Galnt1	14423	Mus musculus	polypeptide N-acetylgalactosaminyltransferase 1(Galnt1)
Hivep3	16656	Mus musculus	human immunodeficiency virus type I enhancer binding protein 3(Hivep3)
Hivep1	110521	Mus musculus	human immunodeficiency virus type I enhancer binding protein 1(Hivep1)
B230209E15Rik	319752	Mus musculus	RIKEN cDNA B230209E15 gene(B230209E15Rik)
Birc6	12211	Mus musculus	baculoviral IAP repeat-containing 6(Birc6)
Macf1	11426	Mus musculus	microtubule-actin crosslinking factor 1(Macf1)
Tro	56191	Mus musculus	trophinin(Tro)
Grid2	14804	Mus musculus	glutamate receptor, ionotropic, delta 2(Grid2)
Ppp1r16b	228852	Mus musculus	protein phosphatase 1, regulatory subunit 16B(Ppp1r16b)
Cers1	93898	Mus musculus	ceramide synthase 1(Cers1)
Mfrp	259172	Mus musculus	membrane frizzled-related protein(Mfrp)
Arhgef12	69632	Mus musculus	Rho guanine nucleotide exchange factor (GEF) 12(Arhgef12)
Slc12a6	107723	Mus musculus	solute carrier family 12, member 6(Slc12a6)
Lbp	16803	Mus musculus	lipopolysaccharide binding protein(Lbp)
Arid5b	71371	Mus musculus	AT rich interactive domain 5B (MRF1-like)(Arid5b)
Peg3	18616	Mus musculus	paternally expressed 3(Peg3)
Atp2b3	320707	Mus musculus	ATPase, Ca++ transporting, plasma membrane 3(Atp2b3)
Edf1	59022	Mus musculus	endothelial differentiation-related factor 1(Edf1)
Ksr2	333050	Mus musculus	kinase suppressor of ras 2(Ksr2)
Cd274	60533	Mus musculus	CD274 antigen(Cd274)
Arel1	68497	Mus musculus	apoptosis resistant E3 ubiquitin protein ligase 1(Arel1)
Pianp	319352	Mus musculus	PILR alpha associated neural protein(Pianp)
Mrps18c	68735	Mus musculus	mitochondrial ribosomal protein S18C(Mrps18c)
Tomm20l	75266	Mus musculus	translocase of outer mitochondrial membrane 20-like(Tomm20l)
Npc1	18145	Mus musculus	NPC intracellular cholesterol transporter 1(Npc1)
Mapkbp1	26390	Mus musculus	mitogen-activated protein kinase binding protein 1(Mapkbp1)
Tppp	72948	Mus musculus	tubulin polymerization promoting protein(Tppp)
Arhgap21	71435	Mus musculus	Rho GTPase activating protein 21(Arhgap21)
Vezf1	22344	Mus musculus	vascular endothelial zinc finger 1(Vezf1)
Arhgap20	244867	Mus musculus	Rho GTPase activating protein 20(Arhgap20)
Ubash3b	72828	Mus musculus	ubiquitin associated and SH3 domain containing, B(Ubash3b)
Herc2	15204	Mus musculus	HECT and RLD domain containing E3 ubiquitin protein ligase 2(Herc2)
Scrn1	69938	Mus musculus	secernin 1(Scrn1)
Herc1	235439	Mus musculus	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1(Herc1)
Gnptab	432486	Mus musculus	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits(Gnptab)
Dgcr8	94223	Mus musculus	DGCR8, microprocessor complex subunit(Dgcr8)
U2af1	108121	Mus musculus	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1(U2af1)
Lrp8	16975	Mus musculus	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor(Lrp8)
Zmiz1	328365	Mus musculus	zinc finger, MIZ-type containing 1(Zmiz1)
Ptpn3	545622	Mus musculus	protein tyrosine phosphatase, non-receptor type 3(Ptpn3)
Kcnj6	16522	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 6(Kcnj6)
Unc79	217843	Mus musculus	unc-79 homolog(Unc79)
Mtor	56717	Mus musculus	mechanistic target of rapamycin kinase(Mtor)
Ahcyl2	74340	Mus musculus	S-adenosylhomocysteine hydrolase-like 2(Ahcyl2)
Atrn	11990	Mus musculus	attractin(Atrn)
Ahcyl1	229709	Mus musculus	S-adenosylhomocysteine hydrolase-like 1(Ahcyl1)
Snrk	20623	Mus musculus	SNF related kinase(Snrk)
Ttr	22139	Mus musculus	transthyretin(Ttr)
Cox7a2	12866	Mus musculus	cytochrome c oxidase subunit 7A2(Cox7a2)
Mtag2	50994	Mus musculus	metastasis associated gene 2(Mtag2)
Slitrk3	386750	Mus musculus	SLIT and NTRK-like family, member 3(Slitrk3)
Atp5k	11958	Mus musculus	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E(Atp5k)
Arhgap32	330914	Mus musculus	Rho GTPase activating protein 32(Arhgap32)
Mertk	17289	Mus musculus	MER proto-oncogene tyrosine kinase(Mertk)
Arhgap31	12549	Mus musculus	Rho GTPase activating protein 31(Arhgap31)
Gpr137c	70713	Mus musculus	G protein-coupled receptor 137C(Gpr137c)
Atp5j2	57423	Mus musculus	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2(Atp5j2)
Tagln3	56370	Mus musculus	transgelin 3(Tagln3)
Celf1	13046	Mus musculus	CUGBP, Elav-like family member 1(Celf1)
Slc16a14	71781	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 14(Slc16a14)
Kcnk9	223604	Mus musculus	potassium channel, subfamily K, member 9(Kcnk9)
Folr1	14275	Mus musculus	folate receptor 1 (adult)(Folr1)
Klf3	16599	Mus musculus	Kruppel-like factor 3 (basic)(Klf3)
Fam217b	71532	Mus musculus	family with sequence similarity 217, member B(Fam217b)
Slc16a12	240638	Mus musculus	solute carrier family 16 (monocarboxylic acid transporters), member 12(Slc16a12)
Mlxip	208104	Mus musculus	MLX interacting protein(Mlxip)
Plekhg1	213783	Mus musculus	pleckstrin homology domain containing, family G (with RhoGef domain) member 1(Plekhg1)
Nlgn2	216856	Mus musculus	neuroligin 2(Nlgn2)
Nin	18080	Mus musculus	ninein(Nin)
Ppm1l	242083	Mus musculus	protein phosphatase 1 (formerly 2C)-like(Ppm1l)
Cpt1a	12894	Mus musculus	carnitine palmitoyltransferase 1a, liver(Cpt1a)
Nlgn3	245537	Mus musculus	neuroligin 3(Nlgn3)
Foxj3	230700	Mus musculus	forkhead box J3(Foxj3)
Nup133	234865	Mus musculus	nucleoporin 133(Nup133)
Klf9	16601	Mus musculus	Kruppel-like factor 9(Klf9)
Xylt1	233781	Mus musculus	xylosyltransferase 1(Xylt1)
Tgfbr2	21813	Mus musculus	transforming growth factor, beta receptor II(Tgfbr2)
Sorl1	20660	Mus musculus	sortilin-related receptor, LDLR class A repeats-containing(Sorl1)
Gpr165	76206	Mus musculus	G protein-coupled receptor 165(Gpr165)
Gpr162	14788	Mus musculus	G protein-coupled receptor 162(Gpr162)
Mgat5	107895	Mus musculus	mannoside acetylglucosaminyltransferase 5(Mgat5)
Aldh5a1	214579	Mus musculus	aldhehyde dehydrogenase family 5, subfamily A1(Aldh5a1)
D130043K22Rik	210108	Mus musculus	RIKEN cDNA D130043K22 gene(D130043K22Rik)
Sprtn	244666	Mus musculus	SprT-like N-terminal domain(Sprtn)
Sostdc1	66042	Mus musculus	sclerostin domain containing 1(Sostdc1)
Pcdhb3	93874	Mus musculus	protocadherin beta 3(Pcdhb3)
Aqp1	11826	Mus musculus	aquaporin 1(Aqp1)
Chst15	77590	Mus musculus	carbohydrate sulfotransferase 15(Chst15)
Rcor1	217864	Mus musculus	REST corepressor 1(Rcor1)
Oprd1	18386	Mus musculus	opioid receptor, delta 1(Oprd1)
Uqcrfs1	66694	Mus musculus	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1(Uqcrfs1)
